Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross,Predicted_Gross,Rating_Score
A Clockwork Orange,1971.0,A,136,"Crime, Drama, Sci-Fi",8.3,77.0,757904,6207725.0,130564039.22164392,8.0
2001: A Space Odyssey,1968.0,U,149,"Adventure, Sci-Fi",8.3,84.0,603517,56954992.0,93624294.65075088,8.350000000000001
Per qualche dollaro in pi霉,1965.0,U,132,Western,8.3,74.0,232772,15000000.0,4917178.112857342,7.85
Lawrence of Arabia,1962.0,U,228,"Adventure, Biography, Drama",8.3,100.0,268085,44824144.0,13366420.601097584,9.15
The Apartment,1960.0,U,125,"Comedy, Drama, Romance",8.3,94.0,164363,18600000.0,-11450851.490349054,8.850000000000001
North by Northwest,1959.0,U,136,"Adventure, Mystery, Thriller",8.3,98.0,299198,13275000.0,20810740.866626386,9.05
Vertigo,1958.0,A,128,"Mystery, Romance, Thriller",8.3,100.0,364368,3200000.0,36403784.02236557,9.15
Singin' in the Rain,1952.0,G,103,"Comedy, Musical, Romance",8.3,99.0,218957,8819028.0,1611701.8017243147,9.1
Double Indemnity,1944.0,Passed,107,"Crime, Drama, Film-Noir",8.3,95.0,143525,5720000.0,-16436701.31817305,8.9
Citizen Kane,1941.0,UA,119,"Drama, Mystery",8.3,100.0,403351,1585634.0,45731137.11949897,9.15
M - Eine Stadt sucht einen M枚rder,1931.0,Passed,117,"Crime, Mystery, Thriller",8.3,77.97153024911032,143434,28877.0,-16458474.632998466,8.048576512455515
The Kid,1921.0,Passed,68,"Comedy, Drama, Family",8.3,77.97153024911032,113314,5450000.0,-23665202.57301485,8.048576512455515
Chhichhore,2019.0,UA,143,"Comedy, Drama",8.2,77.97153024911032,33893,898575.0,-30380536.06795907,7.998576512455515
Uri: The Surgical Strike,2018.0,UA,138,"Action, Drama, War",8.2,77.97153024911032,43444,4186168.0,-28095295.080074072,7.998576512455515
Green Book,2018.0,UA,130,"Biography, Comedy, Drama",8.2,69.0,377884,85080171.0,51925225.91126263,7.55
"Three Billboards Outside Ebbing, Missouri",2017.0,A,115,"Comedy, Crime, Drama",8.2,88.0,432610,54513740.0,65019362.47319269,8.5
Talvar,2015.0,UA,132,"Crime, Drama, Mystery",8.2,77.97153024911032,31142,342370.0,-31038760.123835087,7.998576512455515
Baahubali 2: The Conclusion,2017.0,UA,167,"Action, Drama",8.2,77.97153024911032,75348,20186659.0,-20461714.462601304,7.998576512455515
Drishyam,2015.0,UA,163,"Crime, Drama, Mystery",8.2,77.97153024911032,70367,739478.0,-21653504.365297794,7.998576512455515
Queen,2013.0,UA,146,"Adventure, Comedy, Drama",8.2,77.97153024911032,60701,1429534.0,-23966261.080709457,7.998576512455515
Bhaag Milkha Bhaag,2013.0,U,186,"Biography, Drama, Sport",8.2,77.97153024911032,61137,1626289.0,-23861940.583304167,7.998576512455515
Udaan,2010.0,UA,134,Drama,8.2,77.97153024911032,42341,7461.0,-28359206.797133803,7.998576512455515
Paan Singh Tomar,2012.0,UA,135,"Action, Biography, Crime",8.2,77.97153024911032,33237,39567.0,-30537495.348458767,7.998576512455515
El secreto de sus ojos,2009.0,R,129,"Drama, Mystery, Romance",8.2,80.0,193217,6391436.0,7740470.649011731,8.1
Warrior,2011.0,UA,140,"Action, Drama, Sport",8.2,71.0,435950,13657115.0,65818514.90744412,7.649999999999999
Shutter Island,2010.0,A,138,"Mystery, Thriller",8.2,63.0,1129894,128012934.0,231856549.88774583,7.25
Up,2009.0,U,96,"Animation, Adventure, Comedy",8.2,88.0,935507,293004164.0,185346117.48150572,8.5
The Wolf of Wall Street,2013.0,A,180,"Biography, Crime, Drama",8.2,75.0,1187498,116900694.0,245639297.4394292,7.85
Chak De! India,2007.0,U,153,"Drama, Family, Sport",8.2,68.0,74129,1113541.0,-20753381.17438352,7.5
There Will Be Blood,2007.0,A,158,Drama,8.2,93.0,517359,40222514.0,85297018.05713832,8.75
Pan's Labyrinth,2006.0,UA,118,"Drama, Fantasy, War",8.2,98.0,618623,37634615.0,109526171.38110292,9.0
Toy Story 3,2010.0,U,103,"Animation, Adventure, Comedy",8.2,92.0,757032,415004880.0,142642904.69616663,8.7
V for Vendetta,2005.0,A,132,"Action, Drama, Sci-Fi",8.2,62.0,1032749,70511035.0,208612938.1436262,7.199999999999999
Rang De Basanti,2006.0,UA,167,"Comedy, Crime, Drama",8.2,77.97153024911032,111937,2197331.0,-11707167.032413485,7.998576512455515
Black,2005.0,U,122,Drama,8.2,77.97153024911032,33354,733094.0,-30509501.08654034,7.998576512455515
Batman Begins,2005.0,UA,140,"Action, Adventure",8.2,70.0,1308302,206852432.0,274543731.7709608,7.6
"Swades: We, the People",2004.0,U,210,Drama,8.2,77.97153024911032,83005,1223240.0,-18629645.543720007,7.998576512455515
Der Untergang,2004.0,R,156,"Biography, Drama, History",8.2,82.0,331308,5509040.0,40781116.99578452,8.2
Hauru no ugoku shiro,2004.0,U,119,"Animation, Adventure, Family",8.2,80.0,333915,4711096.0,41404886.57545328,8.1
A Beautiful Mind,2001.0,UA,135,"Biography, Drama",8.2,72.0,848920,170742341.0,164628688.79152584,7.699999999999999
"Lock, Stock and Two Smoking Barrels",1998.0,A,107,"Action, Comedy, Crime",8.2,66.0,535216,3897569.0,89569612.3740331,7.399999999999999
L.A. Confidential,1997.0,A,138,"Crime, Drama, Mystery",8.2,90.0,531967,64616940.0,88792233.25460708,8.6
Heat,1995.0,A,170,"Crime, Drama, Thriller",8.2,76.0,577113,67436818.0,99594190.07997157,7.899999999999999
Casino,1995.0,A,178,"Crime, Drama",8.2,73.0,466276,42438300.0,73074531.88981247,7.75
Unforgiven,1992.0,A,130,"Drama, Western",8.2,85.0,375935,101157447.0,51458894.14648533,8.35
Indiana Jones and the Last Crusade,1989.0,U,127,"Action, Adventure",8.2,65.0,692366,197171806.0,127170452.20715284,7.35
Dom za vesanje,1988.0,R,142,"Comedy, Crime, Drama",8.2,77.97153024911032,26402,280015.0,-32172886.632323623,7.998576512455515
Tonari no Totoro,1988.0,U,86,"Animation, Family, Fantasy",8.2,86.0,291180,1105564.0,31179802.95936429,8.399999999999999
Die Hard,1988.0,A,132,"Action, Thriller",8.2,72.0,793164,83008852.0,151288107.01783562,7.699999999999999
Ran,1985.0,U,162,"Action, Drama, War",8.2,96.0,112505,4135750.0,-11571263.2651515,8.899999999999999
Raging Bull,1980.0,A,129,"Biography, Drama, Sport",8.2,89.0,321860,23383987.0,38520520.5290755,8.55
Stalker,1979.0,U,162,"Drama, Sci-Fi",8.2,77.97153024911032,116945,234723.0,-10508916.915428042,7.998576512455515
Monty Python and the Holy Grail,1975.0,PG,91,"Adventure, Comedy, Fantasy",8.2,91.0,500875,1229197.0,81352937.60019183,8.649999999999999
The Great Escape,1963.0,U,172,"Adventure, Drama, History",8.2,86.0,224730,12100000.0,15280497.792894006,8.399999999999999
Some Like It Hot,1959.0,U,121,"Comedy, Music, Romance",8.2,98.0,243943,25000000.0,19877538.427407146,9.0
Dial M for Murder,1954.0,A,105,"Crime, Thriller",8.2,75.0,158335,12562.0,-605647.6778026819,7.85
All About Eve,1950.0,Passed,138,Drama,8.2,98.0,120539,10177.0,-9648990.613422036,9.0
The Treasure of the Sierra Madre,1948.0,Passed,126,"Adventure, Drama, Western",8.2,98.0,114304,5014000.0,-11140821.579756737,9.0
The Gold Rush,1925.0,Passed,95,"Adventure, Comedy, Drama",8.2,77.97153024911032,101053,5450000.0,-14311351.192411425,7.998576512455515
Sherlock Jr.,1924.0,Passed,45,"Action, Comedy, Romance",8.2,77.97153024911032,41985,977375.0,-28444385.918868303,7.998576512455515
Portrait de la jeune fille en feu,2019.0,R,122,"Drama, Romance",8.1,95.0,63134,3759854.0,-11096617.523791432,8.8
Pink,2016.0,UA,136,"Drama, Thriller",8.1,77.97153024911032,39216,1241223.0,-16819410.314937234,7.948576512455515
Ah-ga-ssi,2016.0,A,145,"Drama, Romance, Thriller",8.1,84.0,113649,2006788.0,989964.87627244,8.25
Mommy,2014.0,R,139,Drama,8.1,74.0,50700,3492754.0,-14071665.83740914,7.75
Haider,2014.0,UA,160,"Action, Crime, Drama",8.1,77.97153024911032,50445,901610.0,-14132678.97235942,7.948576512455515
Logan,2017.0,A,137,"Action, Drama, Sci-Fi",8.1,77.0,647884,226277068.0,128814875.26918817,7.9
Room,2015.0,R,118,"Drama, Thriller",8.1,86.0,371538,14677674.0,62694342.75551772,8.35
Relatos salvajes,2014.0,R,122,"Comedy, Drama, Thriller",8.1,77.0,177059,3107072.0,16161897.76725638,7.9
PK,2014.0,UA,153,"Comedy, Drama, Musical",8.1,77.97153024911032,163061,10616104.0,12812635.55927658,7.948576512455515
OMG: Oh My God!,2012.0,U,125,"Comedy, Drama, Fantasy",8.1,77.97153024911032,51739,923221.0,-13823067.220885992,7.948576512455515
The Grand Budapest Hotel,2014.0,UA,99,"Adventure, Comedy, Crime",8.1,88.0,707630,59100318.0,143110133.15445423,8.45
Gone Girl,2014.0,A,149,"Drama, Mystery, Thriller",8.1,79.0,859695,167767189.0,179494299.29650545,8.0
Hacksaw Ridge,2016.0,A,139,"Biography, Drama, History",8.1,71.0,435928,67209615.0,78100757.49846768,7.6
Inside Out,2015.0,U,95,"Animation, Adventure, Comedy",8.1,94.0,616228,356461711.0,121240632.91629446,8.75
